cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade;chave_cnae
14069863000120;0;1412601;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;14
14069863000120;1;4772500;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
14069863000120;2;4781400;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
14069863000120;3;4789001;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;47
11275033000160;0;0121101;HORTICULTURA, EXCETO MORANGO;01
01469645000130;0;4632002;COMERCIO ATACADISTA DE FARINHAS, AMIDOS E FECULAS;46
13345135000130;0;0121101;HORTICULTURA, EXCETO MORANGO;01
11590229000140;0;3299099;COMERCIO VAREJISTA DE OUTROS ARTIGOS USADOS;32
11590229000140;1;4785799;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;47
17033261000100;0;4631100;COMERCIO ATACADISTA DE LEITE E LATICINIOS;46
17033261000100;1;4639701;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL;46
17033261000100;2;4712100;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;47
17033261000100;3;4724500;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
17033261000100;4;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
08813740000230;0;4763602;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;47
08813740000230;1;4782201;COMERCIO VAREJISTA DE CALCADOS;47
08918200000130;0;4673700;COMERCIO ATACADISTA DE MATERIAL ELETRICO;46
08918200000130;1;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
74190943000160;0;4646001;COMERCIO ATACADISTA DE COSMETICOS E PRODUTOS DE PERFUMARIA;46
74190943000160;1;4691500;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS;46
74190943000160;2;4693100;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINANCIA DE ALIMENTOS OU DE INSUMOS AGROPECUARIOS;46
08022308000220;0;4712100;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
08022308000220;1;4722901;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
25938978000120;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
13813677000190;0;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
13813677000190;1;9493600;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
13795325000150;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
13795325000150;1;4721102;PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA;47
09529669000140;0;6311900;TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET;63
09062710000110;0;4729699;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;47
09062710000110;1;5611201;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;56
09062710000110;2;5611202;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
09062710000110;3;5611203;RESTAURANTES E SIMILARES;56
13847278000140;0;1012101;ABATE DE AVES;10
13847278000140;1;1020101;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;10
13847278000140;2;4712100;PEIXARIA;47
13847278000140;3;4722902;PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS;47
15986191000180;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
15977495000180;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
08212849000130;0;0111302;CRIACAO DE BOVINOS PARA CORTE;01
08212849000130;1;0151201;CRIACAO DE BOVINOS PARA LEITE;01
08212849000130;2;0151202;CULTIVO DE MILHO;01
12165068000100;0;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
14397594000120;0;4721103;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
14397594000120;1;4781400;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;47
15509176000140;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
15509176000140;1;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
01435328000950;0;4631100;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;46
01435328000950;1;4789099;COMERCIO ATACADISTA DE LEITE E LATICINIOS;47
01435328000950;2;9499500;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;94
01241733000180;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
15831206000130;0;1412601;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;14
15831206000130;1;4781400;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;47
01567149000110;0;5811500;ATIVIDADES DE GRAVACAO DE SOM E DE EDICAO DE MUSICA;58
01567149000110;1;5913800;DISTRIBUICAO CINEMATOGRAFICA, DE VIDEO E DE PROGRAMAS DE TELEVISAO;59
01567149000110;2;5920100;EDICAO DE LIVROS;59
04490347000110;0;6399200;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;63
04490347000110;1;7490199;OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE;74
04490347000110;2;8219999;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;82
04490347000110;3;8299799;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
13470027000190;0;4322301;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;43
13470027000190;1;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
56397243000160;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
01477386000190;0;9609202;AGENCIAS MATRIMONIAIS;96
13879455000170;0;1531901;FABRICACAO DE CALCADOS DE COURO;15
13879455000170;1;1539400;FABRICACAO DE CALCADOS DE MATERIAIS NAO ESPECIFICADOS ANTERIORMENTE;15
08877621000160;0;0134200;CRIACAO DE BOVINOS PARA LEITE;01
08877621000160;1;0151202;CULTIVO DE CAFE;01
02391387000260;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
13993425000190;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
93808863000170;0;4789004;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;47
93808863000170;1;9609208;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS;96
12352255000100;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
12352255000100;1;4322301;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;43
14829885000140;0;4712100;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;47
14829885000140;1;5611202;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;56
14829885000140;2;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
14744664000170;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;49
14744664000170;1;4930202;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
14744664000170;2;4930204;TRANSPORTE RODOVIARIO DE MUDANCAS;49
14730259000100;0;4321500;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;43
14730259000100;1;4322301;INSTALACAO E MANUTENCAO ELETRICA;43
14730259000100;2;4330402;INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS;43
14730259000100;3;4330404;OBRAS DE ALVENARIA;43
14730259000100;4;4399103;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
08932596000170;0;9329899;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;93
08932596000170;1;9499500;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;94
01710809000170;0;4761003;ATIVIDADES AUXILIARES DOS TRANSPORTES AEREOS, EXCETO OPERACAO DOS AEROPORTOS E CAMPOS DE ATERRISSAGEM;47
01710809000170;1;4789005;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;47
01710809000170;2;5240199;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;52
01860876000170;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
00786393000100;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
00786393000100;1;9493600;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
00786393000100;2;9499500;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
16346143000190;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
16346143000190;1;8299707;SALAS DE ACESSO A INTERNET;82
16370304000180;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
14456365000130;0;4120400;CONSTRUCAO DE EDIFICIOS;41
14437566000190;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13849407000130;0;0111302;CRIACAO DE BOVINOS PARA CORTE;01
13849407000130;1;0119905;CRIACAO DE BOVINOS PARA LEITE;01
13849407000130;2;0151201;CULTIVO DE EUCALIPTO;01
13849407000130;3;0151202;CULTIVO DE FEIJAO;01
13849407000130;4;0210101;CULTIVO DE MILHO;02
11756153000180;0;3313999;COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS;33
11756153000180;1;4744003;MANUTENCAO E REPARACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE;47
11044548000150;0;4618499;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;46
11044548000150;1;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;46
03782636000120;0;6911701;SERVICOS ADVOCATICIOS;69
14491972000130;0;0162802;COMERCIO VAREJISTA DE CARNES  ACOUGUES;01
14491972000130;1;4722901;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;47
14491972000130;2;5611203;SERVICO DE TOSQUIAMENTO DE OVINOS;56
14478735000130;0;4520006;SERVICOS DE BORRACHARIA PARA VEICULOS AUTOMOTORES;45
46551651000170;0;4110700;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS;41
14479537000190;0;5611201;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
14479537000190;1;5611203;RESTAURANTES E SIMILARES;56
84907294000120;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
20487385000170;0;8640205;SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA;86
56982853000120;0;4120400;CONSTRUCAO DE EDIFICIOS;41
56982853000120;1;4299501;CONSTRUCAO DE INSTALACOES ESPORTIVAS E RECREATIVAS;42
14230611000130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
14230611000130;1;4782201;COMERCIO VAREJISTA DE CALCADOS;47
07085401000130;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
03261762000300;0;7711000;LOCACAO DE AUTOMOVEIS SEM CONDUTOR;77
08065068000160;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
14726624000600;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
11253592000170;0;8610102;ATIVIDADES DE ATENDIMENTO EM PRONTOSOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS;86
07114600000120;0;4614100;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MAQUINAS, EQUIPAMENTOS, EMBARCACOES E AERONAVES;46
04177666000170;0;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;47
11509750000100;0;4120400;CONSTRUCAO DE EDIFICIOS;41
11509750000100;1;4313400;OBRAS DE TERRAPLENAGEM;43
11509750000100;2;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
11509750000100;3;7112000;SERVICOS DE DESENHO TECNICO RELACIONADOS A ARQUITETURA E ENGENHARIA;71
11509750000100;4;7119703;SERVICOS DE ENGENHARIA;71
15693193000180;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
13106283000100;0;1629301;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS;16
06221073000190;0;2949299;FABRICACAO DE OUTRAS PECAS E ACESSORIOS PARA VEICULOS AUTOMOTORES NAO ESPECIFICADAS ANTERIORMENTE;29
01391164000150;0;4712100;COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING;47
01391164000150;1;4763604;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
01391164000150;2;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
81452146000250;0;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;46
08964442000240;0;8591100;ATIVIDADES DE CONDICIONAMENTO FISICO;85
08964442000240;1;9313100;ENSINO DE ESPORTES;93
15091798000100;0;4923001;SERVICO DE TAXI;49
15091798000100;1;4924800;TRANSPORTE ESCOLAR;49
15091798000100;2;4929901;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL;49
15091798000100;3;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;49
15091798000100;4;4930202;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
03065246000210;0;4744002;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;47
03065246000210;1;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;47
02606538000170;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
02606538000170;1;4724500;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;47
02606538000170;2;4729601;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;47
02606538000170;3;4729699;TABACARIA;47
06974500000100;0;4762800;COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS;47
02655126000120;0;1051100;PREPARACAO DO LEITE;10
02847299000140;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
01483971000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
03803432000200;0;5611201;RESTAURANTES E SIMILARES;56
04686737000160;0;1354500;FABRICACAO DE ESQUADRIAS DE METAL;13
04686737000160;1;1822999;FABRICACAO DE LETRAS, LETREIROS E PLACAS DE QUALQUER MATERIAL, EXCETO LUMINOSOS;18
04686737000160;2;2512800;FABRICACAO DE PAINEIS E LETREIROS LUMINOSOS;25
04686737000160;3;3299003;FABRICACAO DE TECIDOS ESPECIAIS, INCLUSIVE ARTEFATOS;32
04686737000160;4;3299004;SERVICOS DE ACABAMENTOS GRAFICOS, EXCETO ENCADERNACAO E PLASTIFICACAO;32
60872306011870;0;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;47
12937064000100;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
12937064000100;1;4759801;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
82669383000150;0;8130300;ATIVIDADES PAISAGISTICAS;81
13292411000140;0;5620104;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;56
06255719000150;0;6920601;ATIVIDADES DE CONTABILIDADE;69
14734682000170;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
14734682000170;1;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
10538510000170;0;4729601;TABACARIA;47
00431654000170;0;4744002;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;47
00431654000170;1;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
15811750000110;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
00945308000100;0;5223100;ESTACIONAMENTO DE VEICULOS;52
08917427000160;0;4761001;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;47
08917427000160;1;4761002;COMERCIO VAREJISTA DE JORNAIS E REVISTAS;47
08917427000160;2;4761003;COMERCIO VAREJISTA DE LIVROS;47
13455314000120;0;5912001;ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS;59
13455314000120;1;7729202;PRODUCAO MUSICAL;77
13455314000120;2;8230001;SERVICOS DE DUBLAGEM;82
13455314000120;3;9001902;SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS;90
10690683000100;0;4530706;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES;45
55677793000170;0;8112500;CONDOMINIOS PREDIAIS;81
10444692000110;0;0111302;CULTIVO DE MILHO;01
10444692000110;1;0115600;CULTIVO DE SOJA;01
60459468000170;0;5611201;RESTAURANTES E SIMILARES;56
01775595000110;0;4691500;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS;46
01775595000110;1;4693100;COMERCIO ATACADISTA DE MERCADORIAS EM GERAL, SEM PREDOMINANCIA DE ALIMENTOS OU DE INSUMOS AGROPECUARIOS;46
05965640000150;0;1732000;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;17
05965640000150;1;1813099;COMERCIO ATACADISTA DE PAPEL E PAPELAO EM BRUTO;18
05965640000150;2;4649499;EDICAO DE LIVROS;46
05965640000150;3;4686901;FABRICACAO DE EMBALAGENS DE CARTOLINA E PAPELCARTAO;46
05965640000150;4;5811500;IMPRESSAO DE MATERIAL PARA OUTROS USOS;58
67286583000130;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
15342759000120;0;5611202;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;56
08364850000180;0;4755501;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
08364850000180;1;4755502;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
08364850000180;2;4755503;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
08364850000180;3;4781400;COMERCIO VAREJISTA DE TECIDOS;47
00141758000140;0;1091102;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;10
00141758000140;1;4712100;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;47
00644718000110;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13324682000130;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
13324682000130;1;6822600;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;68
89743959000120;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
12749029000150;0;9602501;CABELEIREIROS, MANICURE E PEDICURE;96
13760837000180;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
09119498000180;0;4633801;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;46
09119498000180;1;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
11712686000160;0;3314707;MANUTENCAO E REPARACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL;33
71745020000130;0;4789099;ATIVIDADES DE FRANQUEADAS DO CORREIO NACIONAL;47
71745020000130;1;5310502;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;53
10366162000100;0;5590699;ALUGUEL DE IMOVEIS PROPRIOS;55
10366162000100;1;6462000;COMPRA E VENDA DE IMOVEIS PROPRIOS;64
10366162000100;2;6810201;HOLDINGS DE INSTITUICOES NAOFINANCEIRAS;68
10366162000100;3;6810202;OUTROS ALOJAMENTOS NAO ESPECIFICADOS ANTERIORMENTE;68
05018907000100;0;4763605;COMERCIO VAREJISTA DE EMBARCACOES E OUTROS VEICULOS RECREATIVOS, PECAS E ACESSORIOS;47
12360703000100;0;4686902;COMERCIO ATACADISTA DE EMBALAGENS;46
12360703000100;1;4759899;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;47
12360703000100;2;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
05583856000150;0;5620102;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;56
06874032000100;0;4729699;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;47
06874032000100;1;5611201;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;56
06874032000100;2;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
06874032000100;3;5620104;RESTAURANTES E SIMILARES;56
08241939000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
08241939000150;1;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
13472906000150;0;1813001;FABRICACAO DE LETRAS, LETREIROS E PLACAS DE QUALQUER MATERIAL, EXCETO LUMINOSOS;18
13472906000150;1;3299003;FABRICACAO DE PAINEIS E LETREIROS LUMINOSOS;32
13472906000150;2;3299004;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;32
13472906000150;3;4329101;INSTALACAO DE PAINEIS PUBLICITARIOS;43
13210408000130;0;7319099;OUTRAS ATIVIDADES DE PUBLICIDADE NAO ESPECIFICADAS ANTERIORMENTE;73
12560648000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
11230981000180;0;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;94
11230981000180;1;9491000;ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE;94
11230981000180;2;9493600;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
09098066000130;0;5611201;RESTAURANTES E SIMILARES;56
22803050000140;0;4771701;ATIVIDADES DE ATENCAO AMBULATORIAL NAO ESPECIFICADAS ANTERIORMENTE;47
22803050000140;1;4771703;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
22803050000140;2;4772500;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS HOMEOPATICOS;47
22803050000140;3;8630506;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;86
22803050000140;4;8630599;SERVICOS DE VACINACAO E IMUNIZACAO HUMANA;86
31379761000120;0;4729601;TABACARIA;47
01511009000120;0;4789004;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;47
04955387000190;0;7112000;SERVICOS DE ENGENHARIA;71
01432102000220;0;8650099;ATIVIDADES DE APOIO A GESTAO DE SAUDE;86
01432102000220;1;8660700;ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE;86
11640221000140;0;4633801;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;46
02265018000140;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
02557883000160;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
05466207000170;0;4772500;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
15104884000100;0;2330301;FABRICACAO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUCAO;23
15104884000100;1;2330302;FABRICACAO DE ESTRUTURAS PREMOLDADAS DE CONCRETO ARMADO, EM SERIE E SOB ENCOMENDA;23
